Term,Definition,Originator,Example Use
Beetroot Face,Sir Alex Ferguson. The Sting (qv) of football management,?,I'll piss my pants if Glazer gives old Beetroot Face his marching orders.
Unpacking,"Taking a colossal dump, of such proportions that both vision and hearing are periodically, if momentarily, obliterated, rendering the "proper" enjoyment of music impossible.",Scott,"I spend all morning unpacking so I've no idea what Damon Allbran's latest Tunisian Nose Flute album sounds like. I'll tell you one thing though, I'm never eating mince vindaloo tartare again!"
Sponge Leg,"A (shortened) derogatory label given to an idea of little value; a person of little import; a gadget (see iRiver) with no real value to anyone. See also chocolate fireguard, ashtray on a motorbike etc.",Leigh,"See that iRiver, it's about as much use as a Sponge Leg in the Rain"
Pics,Visual representations of attractive burds.,Boab,Any pics?
Mike Read,Superlative of talentless.,?,I am talentless. You are more talentless. He is Mike Read.
Monkey,1. Arboreal creature that's fond of bananas. 2. Dangerous Frenchy spy who's over here in secret working to ban Fish and Chips and the pound.,John B,"There's one! Right Pierre, it's the rack for you and if you don't squeal you'll be hanging from the yard-arm before sun-down."
Superb,"Unusual adjective used to describe the quality of music with variable meaning depending on the describer. For Scott, superb means any album he's just bought however bad it may be. For John G, superb means superb in the traditional sense. To most of the List, superb means OK but to Andy it means utter rubbish.",Scott,Those Bylorussian throat warbellers (qv) were superb.
COON,TOON (qv) for racist coffee drinkers with no profanity filters to worry about.,Boab.,Watched that Richard Pryor video last night over a cup of mocha. Classic COON stuff.
Blog,"A record of an event. Usually referring to a festival or a trip abroad. Normally tedious beyond belief and consisting of breathlessly banal stuff like "in taxi, on way to airport" or  "about to order another pint" or "namaste" (qv).",Leigh,Gil's Glasto blog was really top notch. Not the usual guff at all. Wonder where he stole it from.
Motorcycle Display Team,A bizarre formation of female persons arranged around John Bailey. Resembling an attempt to beat the number of people on a motor-bike probably shown on Blue Peter or Record Breakers in the 70s.,Unknown. Collective.,Did anyone get a photo of John Bailey and his motor-cycle display team
Fat Larry Syndrome,A painful condition characterised by the offering of overly long and tedious justifications of how blunders of Fat Larry (qv) proportions actually weren't,Boab,Ramsay's justification that a pitta bread stuffed with falafel could also be referred to as a falafel was nothing more than another case of Fat Larry Syndrome.
BOON,"1. Beer out of Nose; a more acceptable form of COON (qv) for the itinerant PM with no place to call home, and who is therefore reduced to sitting in bars pretending to work. 2) A Manc lad with a dodgy haircut who was "cool as f*ck", played the organ and fired a non-entity called Noel Gallagher from his band.",Andy,BOON !  I nearly spilt Guinness on my project plan then...
Loobs,Rare bird. Only chick to penetrate the closed and secretive order of the MusicList. Her mysterious disappearance still occasions comment.,Leigh,"Shame Loobs isn't here to comment on this one".
Upright Genre (Big Fan of),Standing. Not Sitting. And thinking of same as a good idea.,Ramsay,
Oirish,Anything related to Oireland. See also 'craic'.,? Possibly Andy,"I hate that Mike Scott, and his music, and his fake Oirishness"
IoJ,Institute of Journeymen (qv),Andy,PM 1: "Couldn't be ersed doing a status report this week so I just re-sent last weeks." PM 2: "Sheer class. Proper IoJ stuff."
Piglet,"Young porcine mammal commonly held under the arm of slack-jawed, cross-eyed, jug-eared witless peasants about to participate in a spot of the craic (qv). A modern variation involves squeezing five pounds of pork sausage into your jacket pocket and getting ejected from pubs with extreme vengeance by junior bar staff with elephant-like memories.",Bailey,
Secateurs,Indicative of an unfunny 'joke'. Originates from a tedious anecdote by Peter Cook confusing 'secateurs' with 'sequitous' or something equally forced. Became the benchmark for unfunniness when passed on by - who else - Ramsay. A new low (qv) in 'comedy',Peter Cook,God knows. It was too boring to remember it. Someone can search out the message.
Jazz,"1. Interminable twittering music where each song lasts no less than 15 minutes and seems like 15 hours. Usually played by gay people with goatees, and small sun-glasses smoking cheroots or old, deformed, dead black guys from the Deep South, Always utter rubbish.  2. Superb (qv) stuff.",John B,"Causing Andy's sister untold amusement,"
Monthly Review,"A long since forgotten tradition of recounting the subjects discussed on the list, yet regurgitated in a humourous, nay critical, way.  Despised by everyone including Marty and discontinued.",Andy,Whatever happened to the Monthly Review?
Chris Martin,A Nobo wannabe (see Nobo),All,Do you think Chris Martin would want to save dolphins if one bit his face off?
Skype,Revolutionary software trickery that lets tight-fisted users wear a stupid headset and talk to little men inside their computer over the telephone network.,Andy,Andy felt secretly miffed that he was the only kid on the block without a skype.
Ramsay in Paris,"The superlative of 'pretentious'. Just as we have good, better, best, so we also have pretentious, more pretentious and 'Ramsay in Paris'. One might use this phrase when describing, for example, the writings of Michel Houellebecq. Or possibly Scott's attendance at some daft world music concert.",Andy,Gil's championing of Miles Davis was real Ramsay In Paris stuff.
TOON,Tea Out Of Nose (abbrev). A spontaneous and hysterical reaction to an unusually funny post (i.e. unlikely to be one of Andy's).,Andy,Leigh's suggestion that Everton might make the knock-out stages of the Champions Leage provided a welcome TOON moment
Falafel,A type of sandwich. Definitely not a fried snack made from chickpeas. And to suggest so would be culinary dilettantism at its worst.,Ramsay,
Pile,A collection of CDs which will never be played again. Approximately 99% of all CDs ever bought end up here.,All,How long do we give the new Lucinda Williams CD before it ends up in everyone's pile.
Tarred with the Ramsay brush,To be accused of a fondness for dismal lo-fi 'Americana',Boab,"I've never listened to the Cowboy Junkies in my life and strongly resent being tarred with the Ramsay brush!"
Cardboard Tuna,Middle-class culinery equivalent of "sour grapes". Original meaning relates to a continued insistence that a foodstuff that one is innately  incapable of cooking is actually inedible.  Can also be applied to more general life situations.,Boab,No one could decide whether Marty's claim that ballroom dancing was gay was a genuine sentiment or simply a case of cardboard tuna.
